0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I-34-10084,2024-03-13 18:58:25.607000+00:00,1.5,0,1.5,0.2,0,2024-03-13 18:58:25.607000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10085,2024-03-13 19:34:29.193000+00:00,3,0,3,0.39,0,2024-03-13 19:34:29.193000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10087,2024-03-13 19:43:39.827000+00:00,2.5,0,2.5,0.33,0,2024-03-13 19:43:39.827000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10088,2024-03-13 19:47:35.229000+00:00,2.5,1.5,1,0.13,0,2024-03-13 19:47:35.229000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10089,2024-03-13 19:53:54.480000+00:00,2,0,2,0.26,0,2024-03-13 19:53:54.480000+00:00,CR,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10090,2024-03-13 19:56:11.142000+00:00,6,0,6,0.78,0,2024-03-13 19:56:11.142000+00:00,CR,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10091,2024-03-13 20:18:43.157000+00:00,4,0,4,0.52,0,2024-03-13 20:18:43.157000+00:00,CR,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10092,2024-03-13 20:19:23.800000+00:00,6,0,6,0.78,0,2024-03-13 20:19:23.800000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10093,2024-03-13 21:20:15.326000+00:00,5,1,4,0.52,0,2024-03-13 21:20:15.326000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10094,2024-03-13 21:52:25.680000+00:00,5,0,5,0.65,0,2024-03-13 21:52:25.680000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10095,2024-03-13 22:55:02.191000+00:00,11,0,11,1.43,0,2024-03-13 22:55:02.191000+00:00,Split Pay,7,4,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10096,2024-03-14 00:05:10.429000+00:00,10,0.5,9.5,1.24,0,2024-03-14 00:05:10.429000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10097,2024-03-14 00:08:41.737000+00:00,2,0,2,0.26,0,2024-03-14 00:08:41.737000+00:00,CA,0,0,0,423,,34,80,,,FALSE,,,0,FALSE,,
I-34-10098,2024-03-14 01:14:00.956000+00:00,1,0,1,0.13,0,2024-03-14 01:14:00.956000+00:00,CA,0,0,0,424,,34,80,,,FALSE,,,0,FALSE,,
